timestamp,header.stamp.sec,header.stamp.nanosec,header.frame_id,pose.position.x,pose.position.y,pose.position.z,pose.orientation.x,pose.orientation.y,pose.orientation.z,pose.orientation.w
1742664800655680815,1742664800,654484520,odom,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1742664800705320277,1742664800,704419504,odom,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1742664800755562728,1742664800,754429656,odom,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1742664800805770457,1742664800,804412382,odom,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1742664800855860684,1742664800,854368237,odom,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1742664800895804227,1742664800,894850769,odom,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1742664800945569690,1742664800,944571268,odom,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1742664800995389302,1742664800,994396140,odom,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1742664801045451362,1742664801,44453643,odom,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1742664801095353122,1742664801,94374886,odom,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1742664801145730760,1742664801,144567799,odom,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1742664801195439944,1742664801,194425688,odom,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1742664801245494225,1742664801,244425636,odom,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1742664801295886845,1742664801,294588252,odom,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1742664801345663900,1742664801,344385178,odom,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1742664801395336713,1742664801,394448107,odom,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1742664801445344568,1742664801,444397906,odom,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1742664801495636538,1742664801,494340630,odom,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1742664801545386796,1742664801,544387726,odom,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1742664801595743989,1742664801,594361932,odom,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1742664801646110775,1742664801,644704273,odom,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1742664801695748273,1742664801,694494551,odom,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1742664801745660496,1742664801,744655148,odom,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1742664801795412051,1742664801,794436611,odom,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1742664801845400683,1742664801,844416873,odom,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1742664801895634986,1742664801,894550989,odom,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1742664801935337747,1742664801,934418215,odom,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1742664801985353750,1742664801,984384865,odom,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1742664802036107893,1742664802,34745632,odom,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1742664802085312142,1742664802,84390573,odom,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1742664802135261273,1742664802,134375371,odom,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1742664802185426018,1742664802,184552857,odom,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1742664802235238721,1742664802,234364838,odom,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1742664802285999216,1742664802,284620270,odom,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1742664802335318745,1742664802,334457010,odom,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1742664802385445508,1742664802,384363881,odom,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1742664802435320230,1742664802,434404439,odom,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1742664802485387826,1742664802,484416923,odom,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1742664802536266155,1742664802,534837931,odom,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1742664802585322162,1742664802,584416482,odom,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1742664802635195810,1742664802,634345557,odom,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1742664802685420001,1742664802,684469376,odom,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1742664802735321520,1742664802,734409192,odom,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1742664802786180442,1742664802,784750884,odom,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1742664802835289857,1742664802,834403640,odom,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1742664802885425972,1742664802,884387809,odom,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1742664802935262453,1742664802,934398644,odom,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1742664802975352219,1742664802,974385482,odom,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1742664803025542723,1742664803,24292668,odom,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1742664803075352184,1742664803,74391319,odom,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1742664803125711450,1742664803,124428654,odom,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1742664803175295001,1742664803,174360154,odom,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1742664803225350854,1742664803,224398304,odom,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1742664803275312355,1742664803,274363304,odom,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1742664803325650454,1742664803,324431825,odom,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1742664803375249856,1742664803,374326473,odom,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1742664803425691160,1742664803,424359345,odom,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1742664803475245673,1742664803,474357846,odom,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1742664803525354843,1742664803,524409533,odom,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1742664803575759424,1742664803,574447886,odom,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1742664803625673165,1742664803,624396276,odom,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1742664803675611146,1742664803,674670355,odom,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1742664803725380755,1742664803,724433760,odom,0.0,0.0,0.0,0.0,0.0,0.0,1.0
