timestamp,layout.dim,layout.data_offset,data
1742665961258049098,"[std_msgs.msg.MultiArrayDimension(label='rows', size=25, stride=4), std_msgs.msg.MultiArrayDimension(label='cols', size=4, stride=1)]",0,"array('f', [5.0, 1.5, 0.0, 0.0, 6.0, 0.0, 0.0, 1.5707963705062866, 5.0, 1.5, 0.699999988079071, 1.5707963705062866, 6.0, 0.0, 0.0, 3.1415927410125732, 5.0, 0.0, 0.699999988079071, 3.1415927410125732, 6.0, 0.0, 0.0, -1.5707963705062866, 5.0, 0.0, 0.0, -1.5707963705062866, 6.0, 0.0, 0.0, 0.0, 5.0, 1.5, 0.0, 0.0, 6.0, 0.0, 0.0, 1.5707963705062866, 5.0, 1.5, 0.699999988079071, 1.5707963705062866, 6.0, 0.0, 0.0, 3.1415927410125732, 5.0, 0.0, 0.699999988079071, 3.1415927410125732, 6.0, 0.0, 0.0, -1.5707963705062866, 5.0, 0.0, 0.0, -1.5707963705062866, 6.0, 0.0, 0.0, 0.0, 5.0, 1.5, 0.0, 0.0, 6.0, 0.0, 0.0, 1.5707963705062866, 5.0, 1.5, 0.699999988079071, 1.5707963705062866, 6.0, 0.0, 0.0, 3.1415927410125732, 5.0, 0.0, 0.699999988079071, 3.1415927410125732, 6.0, 0.0, 0.0, -1.5707963705062866, 5.0, 0.0, 0.0, -1.5707963705062866, 6.0, 0.0, 0.0, 0.0, 7.0, 0.0, 0.0, 0.0])"
1742666101004931219,0,array('f')
