timestamp,header.stamp.sec,header.stamp.nanosec,header.frame_id,magnetic_field.x,magnetic_field.y,magnetic_field.z,magnetic_field_covariance
1742665590323835912,1742665590,306385449,imu_link,7.0625,32.5625,-27.25,[0. 0. 0. 0. 0. 0. 0. 0. 0.]
1742665590329691430,1742665590,326301634,imu_link,7.0625,32.5625,-27.25,[0. 0. 0. 0. 0. 0. 0. 0. 0.]
1742665590357527579,1742665590,346333042,imu_link,7.0625,32.5625,-27.25,[0. 0. 0. 0. 0. 0. 0. 0. 0.]
1742665590381079856,1742665590,366372412,imu_link,5.625,31.3125,-23.875,[0. 0. 0. 0. 0. 0. 0. 0. 0.]
1742665590390852486,1742665590,386447301,imu_link,5.625,31.3125,-23.875,[0. 0. 0. 0. 0. 0. 0. 0. 0.]
1742665590423970893,1742665590,406446097,imu_link,6.0625,32.8125,-27.5,[0. 0. 0. 0. 0. 0. 0. 0. 0.]
1742665590434365671,1742665590,426407856,imu_link,6.0625,32.8125,-27.5,[0. 0. 0. 0. 0. 0. 0. 0. 0.]
1742665590454013819,1742665590,446416930,imu_link,6.0625,32.8125,-27.5,[0. 0. 0. 0. 0. 0. 0. 0. 0.]
1742665590480303801,1742665590,466376041,imu_link,7.3125,33.0,-26.1875,[0. 0. 0. 0. 0. 0. 0. 0. 0.]
1742665590489987245,1742665590,486311245,imu_link,7.3125,33.0,-26.1875,[0. 0. 0. 0. 0. 0. 0. 0. 0.]
1742665590529733301,1742665590,507112116,imu_link,7.9375,32.9375,-27.5625,[0. 0. 0. 0. 0. 0. 0. 0. 0.]
1742665590535738430,1742665590,531269356,imu_link,7.9375,32.9375,-27.5625,[0. 0. 0. 0. 0. 0. 0. 0. 0.]
1742665590553904449,1742665590,546288690,imu_link,7.9375,32.9375,-27.5625,[0. 0. 0. 0. 0. 0. 0. 0. 0.]
1742665590579229578,1742665590,566544430,imu_link,5.4375,32.3125,-24.5,[0. 0. 0. 0. 0. 0. 0. 0. 0.]
1742665590598269190,1742665590,586309634,imu_link,5.4375,32.3125,-24.5,[0. 0. 0. 0. 0. 0. 0. 0. 0.]
1742665590609237523,1742665590,606408504,imu_link,5.4375,32.3125,-24.5,[0. 0. 0. 0. 0. 0. 0. 0. 0.]
1742665590639720393,1742665590,626362227,imu_link,5.375,33.375,-27.5,[0. 0. 0. 0. 0. 0. 0. 0. 0.]
1742665590657774190,1742665590,646319152,imu_link,5.375,33.375,-27.5,[0. 0. 0. 0. 0. 0. 0. 0. 0.]
1742665590679326338,1742665590,666316375,imu_link,5.9375,32.75,-23.0625,[0. 0. 0. 0. 0. 0. 0. 0. 0.]
1742665590697982375,1742665590,686294875,imu_link,5.9375,32.75,-23.0625,[0. 0. 0. 0. 0. 0. 0. 0. 0.]
1742665590709535764,1742665590,706372856,imu_link,5.9375,32.75,-23.0625,[0. 0. 0. 0. 0. 0. 0. 0. 0.]
