timestamp,layout.dim,layout.data_offset,data
1742664232026584455,"[std_msgs.msg.MultiArrayDimension(label='rows', size=15, stride=4), std_msgs.msg.MultiArrayDimension(label='cols', size=4, stride=1)]",0,"array('f', [5.0, 0.699999988079071, 0.0, 0.0, 5.0, 1.899999976158142, 0.0, 0.0, 6.0, 0.0, 0.0, 1.5707963705062866, 3.0, 1.899999976158142, 0.2750000059604645, 1.5707963705062866, 6.0, 0.0, 0.0, 3.1415927410125732, 5.0, 0.699999988079071, 0.2750000059604645, 3.1415927410125732, 6.0, 0.0, 0.0, 1.5707963705062866, 3.0, 0.699999988079071, 0.550000011920929, 3.1415927410125732, 6.0, 0.0, 0.0, 0.0, 5.0, 1.899999976158142, 0.550000011920929, 3.1415927410125732, 6.0, 0.0, 0.0, 3.1415927410125732, 5.0, 0.699999988079071, 0.0, 3.1415927410125732, 6.0, 0.0, 0.0, 0.0, 2.0, -0.699999988079071, 0.0, 0.0, 7.0, 0.0, 0.0, 0.0])"
1742664312262813466,0,array('f')
