timestamp,header.stamp.sec,header.stamp.nanosec,header.frame_id,pose.position.x,pose.position.y,pose.position.z,pose.orientation.x,pose.orientation.y,pose.orientation.z,pose.orientation.w
1742667729070713600,1742667729,69414248,odom,1.5491138745716728,0.05213457241036188,0.0,0.0,0.0,-0.6382223277399113,0.9495146412079596
1742667729121170674,1742667729,120098489,odom,1.5491385015907964,0.05211630447287218,0.0,0.0,0.0,-0.6533172297364671,0.9471198128630323
1742667729170491507,1742667729,169429378,odom,1.5491547339049396,0.05210387941645749,0.0,0.0,0.0,-0.6684532622561743,0.9446642870237113
1742667729210518693,1742667729,209430304,odom,1.5491627551028868,0.05209754475815331,0.0,0.0,0.0,-0.6835481642527301,0.9421615487518967
1742667729261221841,1742667729,259697896,odom,1.5491786044363072,0.052084634735710136,0.0,0.0,0.0,-0.6986841967724373,0.9395981025555242
1742667729310525859,1742667729,309316378,odom,1.5491942565551668,0.052071486305212286,0.0,0.0,0.0,-0.7139024903384473,0.9369664702514661
1742667729360322304,1742667729,359298785,odom,1.5492019816638944,0.0520647937565584,0.0,0.0,0.0,-0.729079653381306,0.9342879207922077
1742667729410487433,1742667729,409396859,odom,1.5492172269619287,0.052051175719357565,0.0,0.0,0.0,-0.7442979469473159,0.9315480914496327
1742667729460528989,1742667729,459389841,odom,1.5492322632593298,0.05203732726060516,0.0,0.0,0.0,-0.7594339794670232,0.9287695726853946
1742667729510861767,1742667729,509370841,odom,1.5492396757454856,0.05203029003378428,0.0,0.0,0.0,-0.7746111425098817,0.9259300918190516
1742667729560702544,1742667729,559418415,odom,1.5492615902397286,0.05200884329619755,0.0,0.0,0.0,-0.7897060445064377,0.9230531126339504
1742667729610475192,1742667729,609358692,odom,1.5492759824220668,0.0519943265769781,0.0,0.0,0.0,-0.8048420770261449,0.9201154987546885
1742667729660583174,1742667729,659461100,odom,1.549283067830369,0.05198696013268463,0.0,0.0,0.0,-0.8199369790227007,0.9171333827359985
1742667729710427377,1742667729,709327452,odom,1.549297014649487,0.051972015023590244,0.0,0.0,0.0,-0.834990750496105,0.9141073621998961
1742667729761870229,1742667729,759736692,odom,1.5493038747830379,0.05196443834357835,0.0,0.0,0.0,-0.8500856524926609,0.9110210739672107
1742667729810457100,1742667729,809359174,odom,1.5493173647572482,0.051949079611691984,0.0,0.0,0.0,-0.8652216850123681,0.9078742689206935
1742667729860364174,1742667729,859318303,odom,1.5493239927410372,0.051941299036955386,0.0,0.0,0.0,-0.8803988480552266,0.9046667026659226
1742667729910519340,1742667729,909442488,odom,1.5493370110168772,0.05192553849941673,0.0,0.0,0.0,-0.8956171416212364,0.9013981356220115
1742667729960413859,1742667729,959316600,odom,1.5493497879460238,0.051909581678588806,0.0,0.0,0.0,-0.9108354351872463,0.89807737867581
1742667730011377655,1742667730,9648451,odom,1.5493560542577334,0.051901506974266154,0.0,0.0,0.0,-0.9260125982301047,0.894713809550822
1742667730060558877,1742667730,59342488,odom,1.5493683403449598,0.05188516922319651,0.0,0.0,0.0,-0.9411486307498119,0.8913080416162369
