timestamp,layout.data_offset,data
1742663040894334050,0,"array('i', [42493, 35335])"
1742663040943045422,0,"array('i', [42493, 35335])"
1742663040983220956,0,"array('i', [42493, 35335])"
1742663041032980855,0,"array('i', [42493, 35335])"
1742663041082999405,0,"array('i', [42493, 35335])"
1742663041133097085,0,"array('i', [42493, 35335])"
1742663041183245543,0,"array('i', [42493, 35335])"
1742663041233299204,0,"array('i', [42493, 35335])"
1742663041282995122,0,"array('i', [42493, 35335])"
1742663041332984541,0,"array('i', [42493, 35335])"
1742663041383025258,0,"array('i', [42493, 35335])"
1742663041433345366,0,"array('i', [42493, 35335])"
1742663041483243766,0,"array('i', [42493, 35335])"
1742663041533016758,0,"array('i', [42493, 35335])"
1742663041583037567,0,"array('i', [42493, 35335])"
1742663041633013506,0,"array('i', [42493, 35335])"
1742663041683020259,0,"array('i', [42493, 35335])"
1742663041733283052,0,"array('i', [42493, 35335])"
1742663041783047617,0,"array('i', [42493, 35335])"
1742663041832972629,0,"array('i', [42493, 35335])"
1742663041883034087,0,"array('i', [42493, 35335])"
1742663041922989822,0,"array('i', [42493, 35335])"
1742663041973068687,0,"array('i', [42493, 35335])"
1742663042023118645,0,"array('i', [42493, 35335])"
1742663042073418937,0,"array('i', [42493, 35335])"
1742663042122936297,0,"array('i', [42493, 35335])"
1742663042173050106,0,"array('i', [42493, 35335])"
1742663042223105397,0,"array('i', [42493, 35335])"
1742663042273047297,0,"array('i', [42493, 35335])"
1742663042322986771,0,"array('i', [42493, 35335])"
1742663042372950950,0,"array('i', [42493, 35335])"
1742663042423005037,0,"array('i', [42493, 35335])"
1742663042472963715,0,"array('i', [42493, 35335])"
1742663042523082561,0,"array('i', [42493, 35335])"
1742663042573305187,0,"array('i', [42493, 35335])"
1742663042622951640,0,"array('i', [42493, 35335])"
1742663042673072986,0,"array('i', [42493, 35335])"
1742663042722975072,0,"array('i', [42493, 35335])"
1742663042773045751,0,"array('i', [42493, 35335])"
1742663042812959171,0,"array('i', [42493, 35335])"
1742663042863506281,0,"array('i', [42493, 35335])"
